text,classification,text_tokens
Israel está combatendo o coronavírus sem isolamento social e pouco impacto econômico,0,"['israel', 'combatendo', 'coronavírus', 'isolamento', 'social', 'impacto', 'econômico']"
"O ex-ministro da Saúde do Brasil, Luiz Henrique Mandetta, nomeou o Tamiflu para pacientes com COVID-19, o que aumentaria a mortalidade em 50%.",0,"['ex', 'ministro', 'saúde', 'brasil', 'luiz', 'henrique', 'mandetta', 'nomeou', 'tamiflu', 'pacientes', 'covid', 'aumentaria', 'mortalidade']"
Máscaras chinesas importadas pelo Ministério da Saúde do Brasil estão infectadas com o novo coronavírus.,0,"['máscaras', 'chinesas', 'importadas', 'ministério', 'saúde', 'brasil', 'infectadas', 'coronavírus']"
Dados de mortalidade da covid-19 diminuíram depois que o Ministro da Justiça do Brasil anunciou uma investigação.,0,"['dados', 'mortalidade', 'covid', 'diminuíram', 'ministro', 'justiça', 'brasil', 'anunciou', 'investigação']"
"O número de mortes por COVID-19 caiu na capital do estado de Amazonas, Manaus, após a visita do Ministro da Saúde.",0,"['mortes', 'covid', 'caiu', 'capital', 'amazonas', 'manaus', 'visita', 'ministro', 'saúde']"
Brasil possui as melhores taxas de recuperação de COVID-19 do mundo.,0,"['brasil', 'possui', 'melhores', 'taxas', 'recuperação', 'covid', 'mundo']"
Foto mostra a sala de serviço para pacientes com Covid-19 vazia no Hospital Central da Polícia Militar no Rio de Janeiro.,0,"['foto', 'mostra', 'sala', 'serviço', 'pacientes', 'covid', 'vazia', 'hospital', 'central', 'polícia', 'militar', 'rio', 'janeiro']"
As mortes causadas pela COVID-19 em São Paulo caíram após auditorias realizadas pelo novo Ministro da Saúde.,0,"['mortes', 'causadas', 'covid', 'paulo', 'caíram', 'auditorias', 'realizadas', 'ministro', 'saúde']"
"Tedros Ghebreyesus, diretor geral da OMS, disse em vídeo que as máscaras produzidas na China e na Índia estão infectadas pelo Sars-CoV-2.",0,"['tedros', 'ghebreyesus', 'diretor', 'oms', 'disse', 'vídeo', 'máscaras', 'produzidas', 'china', 'índia', 'infectadas', 'sars', 'cov']"
"A OMS diz que o Coronavac, vacina produzida pela Sinovac Biotech, não foi testada em nenhum lugar do mundo antes do Brasil.",0,"['oms', 'coronavac', 'vacina', 'produzida', 'sinovac', 'biotech', 'testada', 'nenhum', 'mundo', 'brasil']"
A Prefeitura do Rio de Janeiro revisou os dados após a operação da Polícia Federal e diminuiu em 1.177 mortes os registros oficiais da COVID-19.,0,"['prefeitura', 'rio', 'janeiro', 'revisou', 'dados', 'operação', 'polícia', 'federal', 'diminuiu', 'mortes', 'registros', 'oficiais', 'covid']"
"Segundo a RadarBox, a pandemia de Covid-19 reduziu apenas o tráfego aéreo no Brasil e na África.",0,"['radarbox', 'pandemia', 'covid', 'reduziu', 'tráfego', 'aéreo', 'brasil', 'áfrica']"
Partidos de esquerda no Brasil pediram ao STF que impedisse o Exército de disponibilizar camas no Hospital Militar para pessoas com COVID-19.,0,"['partidos', 'esquerda', 'brasil', 'pediram', 'stf', 'impedisse', 'exército', 'disponibilizar', 'camas', 'hospital', 'militar', 'covid']"
Pesquisas mundiais mostram que a hidroxicloroquina é a droga mais eficaz contra o COVID-19.,0,"['pesquisas', 'mundiais', 'mostram', 'hidroxicloroquina', 'droga', 'eficaz', 'covid']"
Vídeo mostra a polícia apreendendo dinheiro desviado dos respiradores na casa da secretaria de saúde da cidade de Belém.,0,"['vídeo', 'mostra', 'polícia', 'apreendendo', 'dinheiro', 'desviado', 'respiradores', 'casa', 'secretaria', 'saúde', 'cidade', 'belém']"
Vídeo mostra policiais militares brasileiros saudando manifestantes contra medidas de isolamento em São Paulo.,0,"['vídeo', 'mostra', 'policiais', 'militares', 'brasileiros', 'saudando', 'manifestantes', 'medidas', 'isolamento', 'paulo']"
OMS tem diretrizes que incentivam a masturbação infantil,0,"['oms', 'diretrizes', 'incentivam', 'masturbação', 'infantil']"
Pessoas que dirigirem carros e motos sem máscaras receberão multas de trânsito no Brasil.,0,"['dirigirem', 'carros', 'motos', 'máscaras', 'receberão', 'multas', 'trânsito', 'brasil']"
"Rui Costa, governador da Bahia, pediu à prefeitura de Porto Seguro que falsifique o número de pessoas infectadas com COVID-19 para obter fundos federais.",0,"['rui', 'costa', 'governador', 'bahia', 'pediu', 'prefeitura', 'porto', 'seguro', 'falsifique', 'infectadas', 'covid', 'obter', 'fundos', 'federais']"
"Após revisão, Estado de São Paulo registrou apenas 26 mortes pela COVID-19",0,"['revisão', 'paulo', 'registrou', 'mortes', 'covid']"
Programa de TV italiano mostrou em 2015 que o novo coronavírus foi criado por cientistas em um experimento.,0,"['programa', 'tv', 'italiano', 'mostrou', 'coronavírus', 'criado', 'cientistas', 'experimento']"
O uso prolongado de máscaras causa falta de oxigenação.,0,"['uso', 'prolongado', 'máscaras', 'causa', 'oxigenação']"
Funcionária da loteria é registrada roubando o auxílio federal de emergência da COVID-19 de cliente no Brasil.,0,"['funcionária', 'loteria', 'registrada', 'roubando', 'auxílio', 'federal', 'emergência', 'covid', 'cliente', 'brasil']"
A OMS disse que pacientes assintomáticos não transmitem o novo coronavírus.,0,"['oms', 'disse', 'pacientes', 'assintomáticos', 'transmitem', 'coronavírus']"
"O número de mortes por COVID-19 no Amazonas caiu, depois da visita do ministro da Saúde, Nelson Teich",0,"['mortes', 'covid', 'amazonas', 'caiu', 'visita', 'ministro', 'saúde', 'nelson', 'teich']"
"Um vídeo mostrando dezenas de militares correndo na praia de Copacabana, no Rio de Janeiro, e gritando o nome de Jair Bolsonaro em meio à pandemia da Covid-19.",0,"['vídeo', 'mostrando', 'dezenas', 'militares', 'correndo', 'praia', 'copacabana', 'rio', 'janeiro', 'gritando', 'jair', 'bolsonaro', 'pandemia', 'covid']"
Enfermeiro diz que estados e municípios brasileiros recebem financiamento federal por cada morte por Covid-19 registrada.,0,"['enfermeiro', 'estados', 'municípios', 'brasileiros', 'recebem', 'financiamento', 'federal', 'morte', 'covid', 'registrada']"
"No Brasil, 170 milhões de pessoas se inscreveram para  receber a assistência de emergência",0,"['brasil', 'milhões', 'inscreveram', 'receber', 'assistência', 'emergência']"
Os dados dos cartórios de registro civil indicam que os estados subnotificam as mortes por Covid-19.,0,"['dados', 'cartórios', 'registro', 'civil', 'indicam', 'estados', 'subnotificam', 'mortes', 'covid']"
O número de mortes por COVID-19 diminuiu em Manaus logo depois da visita do ministro da Saúde. ,0,"['mortes', 'covid', 'diminuiu', 'manaus', 'visita', 'ministro', 'saúde']"
As políticas educativas da OMS incentivam a masturbação infantil,0,"['políticas', 'educativas', 'oms', 'incentivam', 'masturbação', 'infantil']"
Quem dirigir sem máscara poderá ser multado ,0,"['dirigir', 'máscara', 'multado']"
"O governador da Bahia, Rui Costa (PT), pediu à Prefeitura de Porto Seguro que inventasse 200 casos confirmados de Covid-19 para obter recursos financeiros do governo federal.",0,"['governador', 'bahia', 'rui', 'costa', 'pt', 'pediu', 'prefeitura', 'porto', 'seguro', 'inventasse', 'casos', 'confirmados', 'covid', 'obter', 'recursos', 'financeiros', 'governo', 'federal']"
Caixões foram enterrados contendo pedras e madeira em Belo Horizonte. ,0,"['caixões', 'enterrados', 'contendo', 'pedras', 'madeira', 'belo', 'horizonte']"
Foto que mostra a deputada federal brasileira Maria do Rosário costurando uma máscara sem linha,0,"['foto', 'mostra', 'deputada', 'federal', 'brasileira', 'maria', 'rosário', 'costurando', 'máscara', 'linha']"
Vídeos mostram chineses disseminando o coronavírus em outros países,0,"['vídeos', 'mostram', 'chineses', 'disseminando', 'coronavírus', 'países']"
Foto de hospital com leitos vazios mostra que efeitos de pandemia foram exagerados pela mídia no Brasil.,0,"['foto', 'hospital', 'leitos', 'vazios', 'mostra', 'efeitos', 'pandemia', 'exagerados', 'mídia', 'brasil']"
"Joice Hasselmann, deputada federal, aparece sem máscara em uma foto no hospital, mesmo após diagnóstico positivo de COVID-19",0,"['joice', 'hasselmann', 'deputada', 'federal', 'aparece', 'máscara', 'foto', 'hospital', 'diagnóstico', 'positivo', 'covid']"
"Policial pisa em mulher que protesta contra medidas de isolamento social no Ceará, Brasil.",0,"['policial', 'pisa', 'mulher', 'protesta', 'medidas', 'isolamento', 'social', 'ceará', 'brasil']"
Foto mostra governador do Rio de Janeiro almoçando em um restaurante em Angra dos Reis e desconsiderando as medidas de isolamento.,0,"['foto', 'mostra', 'governador', 'rio', 'janeiro', 'almoçando', 'restaurante', 'angra', 'reis', 'desconsiderando', 'medidas', 'isolamento']"
"Depois de anunciar medidas de isolamento social, o governador de São Paulo João Doria aparece em uma festa no interior do Estado.",0,"['anunciar', 'medidas', 'isolamento', 'social', 'governador', 'paulo', 'joão', 'doria', 'aparece', 'festa', 'interior']"
"Foto mostra o ex-ministro da Saúde do Brasil, Luiz Henrique Mandetta, apertando a mão do governador do estado do Pará sem máscaras, evidenciando que a pandemia é uma farsa.",0,"['foto', 'mostra', 'ex', 'ministro', 'saúde', 'brasil', 'luiz', 'henrique', 'mandetta', 'apertando', 'mão', 'governador', 'pará', 'máscaras', 'evidenciando', 'pandemia', 'farsa']"
Foto mostra a chegada da delegação de médicos enviada pelo ministro da Saúde brasileiro Nelson Teich ao Amazonas.,0,"['foto', 'mostra', 'chegada', 'delegação', 'médicos', 'enviada', 'ministro', 'saúde', 'brasileiro', 'nelson', 'teich', 'amazonas']"
Foto mostra caixões sendo enterrados vazios no Amazonas.,0,"['foto', 'mostra', 'caixões', 'enterrados', 'vazios', 'amazonas']"
Rede Globo publicou uma foto dos mortos do naufrágio Lampedusa como se fossem vítimas do COVID-19 ,0,"['rede', 'globo', 'publicou', 'foto', 'mortos', 'naufrágio', 'lampedusa', 'vítimas', 'covid']"
Governador do estado de Nova York mostra dados que comprovam que o isolamento é ineficaz contra a COVID-19.,0,"['governador', 'york', 'mostra', 'dados', 'comprovam', 'isolamento', 'ineficaz', 'covid']"
O governo da Alemanha enviou à China uma cobrança de € 149 bilhões pelos danos causados pela pandemia.,0,"['governo', 'alemanha', 'enviou', 'china', 'cobrança', 'bilhões', 'danos', 'causados', 'pandemia']"
Governo brasileiro iniciou o processo de registro do auxílio financeiro em razão do coronavírus pelo WhatsApp,0,"['governo', 'brasileiro', 'iniciou', 'processo', 'registro', 'auxílio', 'financeiro', 'razão', 'coronavírus', 'whatsapp']"
Governo federal liberou saques de um fundo previdenciário para auxiliar famílias em meio à pandemia do novo coronavírus,0,"['governo', 'federal', 'liberou', 'saques', 'fundo', 'previdenciário', 'auxiliar', 'famílias', 'pandemia', 'coronavírus']"
Governo brasileiro iniciou pelo WhatsApp o registro de saques do Seguro Social para combater a pandemia.,0,"['governo', 'brasileiro', 'iniciou', 'whatsapp', 'registro', 'saques', 'seguro', 'social', 'combater', 'pandemia']"
Gráfico mostra que COVID-19 matou menos pessoas diariamente do que outras doenças,0,"['gráfico', 'mostra', 'covid', 'matou', 'diariamente', 'doenças']"
"O ex-candidato à presidência do Brasil pelo Partido dos Trabalhadores, Fernando Haddad, postou uma foto comemorando seu aniversário com convidados durante a pandemia.",0,"['ex', 'candidato', 'presidência', 'brasil', 'partido', 'trabalhadores', 'fernando', 'haddad', 'postou', 'foto', 'comemorando', 'aniversário', 'convidados', 'pandemia']"
Homem encontrado vivo em saco de enterro na Bahia.,0,"['homem', 'encontrado', 'vivo', 'saco', 'enterro', 'bahia']"
O hospital de campanha construído em um estádio de futebol de São Paulo (Brasil) para receber pacientes do COVID-19 está vazio,0,"['hospital', 'campanha', 'construído', 'estádio', 'futebol', 'paulo', 'brasil', 'receber', 'pacientes', 'covid', 'vazio']"
Israel encontrou cura e vacina para o coronavírus,0,"['israel', 'encontrou', 'cura', 'vacina', 'coronavírus']"
A foto de um policial pisando em um manifestante no Ceará.,0,"['foto', 'policial', 'pisando', 'manifestante', 'ceará']"
"Fotos e vídeos mostrando o governador de São Paulo, João Doria (PSDB), em eventos em Araçatuba e em uma festa em meio à pandemia da Covid-19.",0,"['fotos', 'vídeos', 'mostrando', 'governador', 'paulo', 'joão', 'doria', 'psdb', 'eventos', 'araçatuba', 'festa', 'pandemia', 'covid']"
Imagens de um caixão vazio desenterrado no Amazonas mostram que a epidemia causada pelo coronavírus é uma fraude.,0,"['imagens', 'caixão', 'vazio', 'desenterrado', 'amazonas', 'mostram', 'epidemia', 'causada', 'coronavírus', 'fraude']"
Médicos cubanos são enviados ao AM para conter a COVID-19,0,"['médicos', 'cubanos', 'enviados', 'am', 'conter', 'covid']"
Médicos recomendam vitamina C e chá de erva-doce para ajudar a evitar o novo coronavírus,0,"['médicos', 'recomendam', 'vitamina', 'c', 'chá', 'erva', 'doce', 'ajudar', 'evitar', 'coronavírus']"
Ministério da Saúde do Brasil sugeriu que parentes das vítimas da COVID-19 deveriam duvidar dos atestados de óbito,0,"['ministério', 'saúde', 'brasil', 'sugeriu', 'parentes', 'vítimas', 'covid', 'deveriam', 'duvidar', 'atestados', 'óbito']"
Borracheiro que morreu em um acidente de trabalho foi incluído nos números de mortes do COVID-19,0,"['borracheiro', 'morreu', 'acidente', 'incluído', 'números', 'mortes', 'covid']"
O Piauí conseguiu esvaziar os leitos da UTI dedicados do tratamento da COVID-19 com o uso de cloroquina.,0,"['piauí', 'conseguiu', 'esvaziar', 'leitos', 'uti', 'dedicados', 'tratamento', 'covid', 'uso', 'cloroquina']"
"COVID-19 não deve ser tratada com ventiladores mecânicos, apenas com antibióticos.",0,"['covid', 'tratada', 'ventiladores', 'mecânicos', 'antibióticos']"
Diretor geral da OMS deu um passo atrás e disse que o isolamento social não deve ser uma medida na luta contra o coronavírus,0,"['diretor', 'oms', 'deu', 'passo', 'disse', 'isolamento', 'social', 'medida', 'luta', 'coronavírus']"
Governo brasileiro aplicará taxas a todos que forem pegos na rua após 24 de março,0,"['governo', 'brasileiro', 'aplicará', 'taxas', 'pegos', 'rua', 'março']"
"Mortes por atropelamento são contadas como mortes por COVID-19 em São Paulo, Brasil.",0,"['mortes', 'atropelamento', 'contadas', 'mortes', 'covid', 'paulo', 'brasil']"
Medicamento ivermectina cura a Covid-19.,0,"['medicamento', 'ivermectina', 'cura', 'covid']"
O Supremo Tribunal Federal decidiu que o presidente Bolsonaro não poderia determinar ações para combater a pandemia do novo coronavírus.,0,"['supremo', 'tribunal', 'federal', 'decidiu', 'presidente', 'bolsonaro', 'poderia', 'determinar', 'ações', 'combater', 'pandemia', 'coronavírus']"
Uso prolongado de máscaras protetoras causa hipóxia.,0,"['uso', 'prolongado', 'máscaras', 'protetoras', 'causa', 'hipóxia']"
Vacina fabricada pela Roche Medical Company cura o COVID-19 em 3 horas,0,"['vacina', 'fabricada', 'roche', 'medical', 'company', 'cura', 'covid']"
"O Brasil tem uma taxa de sobrevivência à Covid-19 de 99,999%.",0,"['brasil', 'taxa', 'sobrevivência', 'covid']"
A auto-hemoterapia cura o COVID-19,0,"['auto', 'hemoterapia', 'cura', 'covid']"
Médico diz em vídeo que o uso prolongado de máscaras acidifica o sangue.,0,"['médico', 'vídeo', 'uso', 'prolongado', 'máscaras', 'acidifica', 'sangue']"
Pessoas saqueiam supermercado em São Vicente (SP) por causa do isolamento social,0,"['saqueiam', 'supermercado', 'vicente', 'sp', 'causa', 'isolamento', 'social']"
O remédio Ivermectina cura a Covid-19,0,"['remédio', 'ivermectina', 'cura', 'covid']"
O uso prolongado de máscaras faciais causa hipóxia,0,"['uso', 'prolongado', 'máscaras', 'faciais', 'causa', 'hipóxia']"
A COVID-19 pode ser tratada com antibióticos,0,"['covid', 'tratada', 'antibióticos']"
O imunologista e vencedor do Nobel Tasuku Honjo disse que o novo coronavírus não é natural e foi criado pelos chineses.,0,"['imunologista', 'vencedor', 'nobel', 'tasuku', 'honjo', 'disse', 'coronavírus', 'natural', 'criado', 'chineses']"
O proprietário da empresa brasileira que demitiu funcionários por causa da pandemia comete suicídio.,0,"['proprietário', 'empresa', 'brasileira', 'demitiu', 'funcionários', 'causa', 'pandemia', 'comete', 'suicídio']"
Mortes por COVID-19 no Amazonas caíram após a visita do novo Ministro da Saúde.,0,"['mortes', 'covid', 'amazonas', 'caíram', 'visita', 'ministro', 'saúde']"
Estatísticas de mortes por milhão de habitantes mostram que a pandemia de COVID-19 no Brasil não é grave.,0,"['estatísticas', 'mortes', 'milhão', 'habitantes', 'mostram', 'pandemia', 'covid', 'brasil', 'grave']"
Tabela mostra que o número de registros de óbitos no Brasil em abril de 2020 foi menor que em abril de 2019 e abril de 2018.,0,"['tabela', 'mostra', 'registros', 'óbitos', 'brasil', 'abril', 'abril', 'abril']"
"Coronavírus pode ter se espalhado devido ao consumo de sopa de morcegos, afirmam cientistas",0,"['coronavírus', 'espalhado', 'devido', 'consumo', 'sopa', 'morcegos', 'afirmam', 'cientistas']"
OMS aconselha a população a evitar relações sexuais desprotegidas com animais,0,"['oms', 'aconselha', 'população', 'evitar', 'relações', 'sexuais', 'desprotegidas', 'animais']"
O ministro da Saúde do Brasil disse que 'suspeitos de Covid-19' não podem mais aparecer nos atestados de óbito.,0,"['ministro', 'saúde', 'brasil', 'disse', 'suspeitos', 'covid', 'aparecer', 'atestados', 'óbito']"
A OMS diz que nunca aconselhou a aplicação do bloqueio total como uma medida para combater o coronavírus.,0,"['oms', 'aconselhou', 'aplicação', 'bloqueio', 'total', 'medida', 'combater', 'coronavírus']"
"O prefeito de São Paulo, diagnosticado com COVID-19, usou cloroquina, o mesmo medicamento que foi banido pelo governo municipal.",0,"['prefeito', 'paulo', 'diagnosticado', 'covid', 'usou', 'cloroquina', 'medicamento', 'banido', 'governo', 'municipal']"
"Após pandemia de coronavírus, presidente chinês disse que é hora da China liderar o mundo",0,"['pandemia', 'coronavírus', 'presidente', 'chinês', 'disse', 'china', 'liderar', 'mundo']"
Governo do Pará escalou prisioneiros para monitorar se a população está cumprindo as regras de distância social em pontos de ônibus no Brasil,0,"['governo', 'pará', 'escalou', 'prisioneiros', 'monitorar', 'população', 'cumprindo', 'regras', 'distância', 'social', 'ônibus', 'brasil']"
Professor de Harvard foi preso por criar e vender o coronavírus,0,"['professor', 'harvard', 'preso', 'criar', 'vender', 'coronavírus']"
Vídeo mostra profissionais de saúde dando as costas ao prefeito de São Paulo.,0,"['vídeo', 'mostra', 'profissionais', 'saúde', 'dando', 'costas', 'prefeito', 'paulo']"
Projeto aprovado pela Câmara dos Deputados exige o uso de máscaras dentro de residências.,0,"['projeto', 'aprovado', 'câmara', 'deputados', 'exige', 'uso', 'máscaras', 'residências']"
Presidente da Câmara dos Deputados do Brasil rejeitou um projeto de lei de Jair Bolsonaro sobre a quarentena do COVID-19 em fevereiro,0,"['presidente', 'câmara', 'deputados', 'brasil', 'rejeitou', 'projeto', 'lei', 'jair', 'bolsonaro', 'quarentena', 'covid', 'fevereiro']"
Substâncias presentes no boldo e na planta de quina tratam o COVID-19.,0,"['substâncias', 'presentes', 'boldo', 'planta', 'quina', 'tratam', 'covid']"
Tabela que compara as mortes por Covid-19 com outras causas mostra que o novo coronavírus é inofensivo.,0,"['tabela', 'compara', 'mortes', 'covid', 'causas', 'mostra', 'coronavírus', 'inofensivo']"
Texto que circula no WhatsApp que diz que chineses criaram o coronavírus e que as principais cidades da China não sofreram com a pandemia,0,"['texto', 'circula', 'whatsapp', 'chineses', 'criaram', 'coronavírus', 'principais', 'cidades', 'china', 'sofreram', 'pandemia']"
Vídeo mostra mercado brasileiro vazio e a causa da escassez seriam as medidas de isolamento social,0,"['vídeo', 'mostra', 'mercado', 'brasileiro', 'vazio', 'causa', 'escassez', 'medidas', 'isolamento', 'social']"
Vídeo mostra brigas entre inspetores e população por medidas de isolamento social no Brasil.,0,"['vídeo', 'mostra', 'brigas', 'inspetores', 'população', 'medidas', 'isolamento', 'social', 'brasil']"
"Militares correm em uma praia no Rio de Janeiro, desrespeitando as medidas de isolamento do governador Wilson Witzel.",0,"['militares', 'correm', 'praia', 'rio', 'janeiro', 'desrespeitando', 'medidas', 'isolamento', 'governador', 'wilson', 'witzel']"
Vídeo mostrando a avenida movimentada de São Paulo foi gravado em ato a favor do presidente Jair Bolsonaro e contra as medidas de segurança do coronavírus.,0,"['vídeo', 'mostrando', 'avenida', 'movimentada', 'paulo', 'gravado', 'ato', 'presidente', 'jair', 'bolsonaro', 'medidas', 'segurança', 'coronavírus']"
Ministério da Defesa de Israel afirma que a melhor medida contra a pandemia é isolar os idosos,0,"['ministério', 'defesa', 'israel', 'afirma', 'melhor', 'medida', 'pandemia', 'isolar', 'idosos']"
"Vídeo mostra policial atirando em um surfista que desconsiderou medidas de isolamento em Fortaleza, no Ceará.",0,"['vídeo', 'mostra', 'policial', 'atirando', 'surfista', 'desconsiderou', 'medidas', 'isolamento', 'fortaleza', 'ceará']"
Homem é enterrado vivo no Brasil após ser falsamente diagnosticado com COVID-19; o vídeo mostra seu resgate.,0,"['homem', 'enterrado', 'vivo', 'brasil', 'falsamente', 'diagnosticado', 'covid', 'vídeo', 'mostra', 'resgate']"
