,Afirmação checada,Classificação
21,"Caixões desenterrados de um cemitério de Belo Horizonte continham pedras e pedaços de madeira em vez de corpos, o que destaca a farsa das mortes por COVID-19.",Falso
22,Notificação de emergência do Departamento de Saúde do Canadá recomenda que pessoas mantenham a garganta úmida para se proteger do novo coronavírus,Falso
23,Dados de cartórios brasileiros mostram que os dados estaduais sobre mortes por COVID-19 são mais baixos,Falso
24,"O governador de São Paulo disse que assinou um contrato com a China para a produção de uma vacina contra o coronavírus em agosto de 2019, o que prova que a pandemia é uma farsa.",Falso
25,Estados brasileiros recebem financiamento federal para cada morte por Covid-19 registrada.,Falso
26,O FDA (Food and Drug Administration dos EUA) aprovou o uso de hidroxicloroquina em todos os pacientes com Covid-19.,Falso
27,Filho do jornalista brasileiro Willian Bonner solicitou e recebeu auxílio emergencial COVID-19 de R $ 600.,Falso
28,"A China lançou um filme chamado Coronavirus"" em 2013""",Falso
29,"Maria do Rosário, deputada federal pelo PT, aparece em foto costurando uma máscara protetora sem linha de costura.",Falso
30,Governo brasileiro liberou dinheiro adicional para os beneficiários do Bolsa Família,Falso
31,"Hospitais brasileiros recebem R$ 18.000 por cada morte registrada com suspeita de COVID-19""""",Falso
32,"O hospital de campanha da Universidade de Campinas, em São Paulo, foi desmontado por falta de pacientes.",Falso
33,Hospital da cidade de Fortaleza fecha a enfermaria especial de atendimento para Covid-19 devido à falta de pacientes.,Falso
34,O H1N1 foi mais letal que o COVID-19 no Brasil,Falso
35,Israel está combatendo o coronavírus sem isolamento social e pouco impacto econômico,Falso
36,"O ex-ministro da Saúde do Brasil, Luiz Henrique Mandetta, nomeou o Tamiflu para pacientes com COVID-19, o que aumentaria a mortalidade em 50%.",Enganoso
37,Máscaras chinesas importadas pelo Ministério da Saúde do Brasil estão infectadas com o novo coronavírus.,Falso
38,Dados de mortalidade da covid-19 diminuíram depois que o Ministro da Justiça do Brasil anunciou uma investigação.,Falso
39,"O número de mortes por COVID-19 caiu na capital do estado de Amazonas, Manaus, após a visita do Ministro da Saúde.",Falso
40,Brasil possui as melhores taxas de recuperação de COVID-19 do mundo.,Falso
41,Foto mostra a sala de serviço para pacientes com Covid-19 vazia no Hospital Central da Polícia Militar no Rio de Janeiro.,Falso
42,As mortes causadas pela COVID-19 em São Paulo caíram após auditorias realizadas pelo novo Ministro da Saúde.,Falso
43,"Tedros Ghebreyesus, diretor geral da OMS, disse em vídeo que as máscaras produzidas na China e na Índia estão infectadas pelo Sars-CoV-2.",Falso
44,"A OMS diz que o Coronavac, vacina produzida pela Sinovac Biotech, não foi testada em nenhum lugar do mundo antes do Brasil.",Falso
45,A Prefeitura do Rio de Janeiro revisou os dados após a operação da Polícia Federal e diminuiu em 1.177 mortes os registros oficiais da COVID-19.,Falso
46,"Segundo a RadarBox, a pandemia de Covid-19 reduziu apenas o tráfego aéreo no Brasil e na África.",Falso
47,Partidos de esquerda no Brasil pediram ao STF que impedisse o Exército de disponibilizar camas no Hospital Militar para pessoas com COVID-19.,Falso
48,Pesquisas mundiais mostram que a hidroxicloroquina é a droga mais eficaz contra o COVID-19.,Falso
49,Vídeo mostra a polícia apreendendo dinheiro desviado dos respiradores na casa da secretaria de saúde da cidade de Belém.,Falso
50,Vídeo mostra policiais militares brasileiros saudando manifestantes contra medidas de isolamento em São Paulo.,Falso
51,OMS tem diretrizes que incentivam a masturbação infantil,Falso
52,Pessoas que dirigirem carros e motos sem máscaras receberão multas de trânsito no Brasil.,Falso
53,"Rui Costa, governador da Bahia, pediu à prefeitura de Porto Seguro que falsifique o número de pessoas infectadas com COVID-19 para obter fundos federais.",Falso
54,"Após revisão, Estado de São Paulo registrou apenas 26 mortes pela COVID-19",Falso
55,Programa de TV italiano mostrou em 2015 que o novo coronavírus foi criado por cientistas em um experimento.,Falso
56,O uso prolongado de máscaras causa falta de oxigenação.,Falso
57,Funcionária da loteria é registrada roubando o auxílio federal de emergência da COVID-19 de cliente no Brasil.,Falso
58,A OMS disse que pacientes assintomáticos não transmitem o novo coronavírus.,Enganoso
59,"O número de mortes por COVID-19 no Amazonas caiu, depois da visita do ministro da Saúde, Nelson Teich",Falso
60,"Um vídeo mostrando dezenas de militares correndo na praia de Copacabana, no Rio de Janeiro, e gritando o nome de Jair Bolsonaro em meio à pandemia da Covid-19.",Falso
61,Enfermeiro diz que estados e municípios brasileiros recebem financiamento federal por cada morte por Covid-19 registrada.,Falso
62,"No Brasil, 170 milhões de pessoas se inscreveram para  receber a assistência de emergência",Falso
63,Os dados dos cartórios de registro civil indicam que os estados subnotificam as mortes por Covid-19.,Falso
64,O número de mortes por COVID-19 diminuiu em Manaus logo depois da visita do ministro da Saúde. ,Falso
65,As políticas educativas da OMS incentivam a masturbação infantil,Falso
66,Quem dirigir sem máscara poderá ser multado ,Falso
67,"O governador da Bahia, Rui Costa (PT), pediu à Prefeitura de Porto Seguro que inventasse 200 casos confirmados de Covid-19 para obter recursos financeiros do governo federal.",Falso
68,Caixões foram enterrados contendo pedras e madeira em Belo Horizonte. ,Falso
69,Foto que mostra a deputada federal brasileira Maria do Rosário costurando uma máscara sem linha,Falso
70,Vídeos mostram chineses disseminando o coronavírus em outros países,Falso
71,Foto de hospital com leitos vazios mostra que efeitos de pandemia foram exagerados pela mídia no Brasil.,Falso
72,"Joice Hasselmann, deputada federal, aparece sem máscara em uma foto no hospital, mesmo após diagnóstico positivo de COVID-19",Falso
73,"Policial pisa em mulher que protesta contra medidas de isolamento social no Ceará, Brasil.",Falso
74,Foto mostra governador do Rio de Janeiro almoçando em um restaurante em Angra dos Reis e desconsiderando as medidas de isolamento.,Falso
75,"Depois de anunciar medidas de isolamento social, o governador de São Paulo João Doria aparece em uma festa no interior do Estado.",Falso
76,"Foto mostra o ex-ministro da Saúde do Brasil, Luiz Henrique Mandetta, apertando a mão do governador do estado do Pará sem máscaras, evidenciando que a pandemia é uma farsa.",Falso
77,Foto mostra a chegada da delegação de médicos enviada pelo ministro da Saúde brasileiro Nelson Teich ao Amazonas.,Distorcido
78,Foto mostra caixões sendo enterrados vazios no Amazonas.,Falso
79,Rede Globo publicou uma foto dos mortos do naufrágio Lampedusa como se fossem vítimas do COVID-19 ,Falso
80,Governador do estado de Nova York mostra dados que comprovam que o isolamento é ineficaz contra a COVID-19.,Falso
81,O governo da Alemanha enviou à China uma cobrança de € 149 bilhões pelos danos causados pela pandemia.,Falso
82,Governo brasileiro iniciou o processo de registro do auxílio financeiro em razão do coronavírus pelo WhatsApp,Falso
83,Governo federal liberou saques de um fundo previdenciário para auxiliar famílias em meio à pandemia do novo coronavírus,Falso
84,Governo brasileiro iniciou pelo WhatsApp o registro de saques do Seguro Social para combater a pandemia.,Falso
85,Gráfico mostra que COVID-19 matou menos pessoas diariamente do que outras doenças,Parcialmente falso
86,"O ex-candidato à presidência do Brasil pelo Partido dos Trabalhadores, Fernando Haddad, postou uma foto comemorando seu aniversário com convidados durante a pandemia.",Falso
87,Homem encontrado vivo em saco de enterro na Bahia.,Falso
88,O hospital de campanha construído em um estádio de futebol de São Paulo (Brasil) para receber pacientes do COVID-19 está vazio,Falso
89,Israel encontrou cura e vacina para o coronavírus,Falso
90,A foto de um policial pisando em um manifestante no Ceará.,Falso
91,"Fotos e vídeos mostrando o governador de São Paulo, João Doria (PSDB), em eventos em Araçatuba e em uma festa em meio à pandemia da Covid-19.",Falso
92,Imagens de um caixão vazio desenterrado no Amazonas mostram que a epidemia causada pelo coronavírus é uma fraude.,Falso
93,Médicos cubanos são enviados ao AM para conter a COVID-19,Distorcido
94,Médicos recomendam vitamina C e chá de erva-doce para ajudar a evitar o novo coronavírus,Falso
95,Ministério da Saúde do Brasil sugeriu que parentes das vítimas da COVID-19 deveriam duvidar dos atestados de óbito,Falso
96,Borracheiro que morreu em um acidente de trabalho foi incluído nos números de mortes do COVID-19,Falso
97,O Piauí conseguiu esvaziar os leitos da UTI dedicados do tratamento da COVID-19 com o uso de cloroquina.,Enganoso
98,"COVID-19 não deve ser tratada com ventiladores mecânicos, apenas com antibióticos.",Falso
99,Diretor geral da OMS deu um passo atrás e disse que o isolamento social não deve ser uma medida na luta contra o coronavírus,Falso
100,Governo brasileiro aplicará taxas a todos que forem pegos na rua após 24 de março,Falso
101,"Mortes por atropelamento são contadas como mortes por COVID-19 em São Paulo, Brasil.",Falso
102,Medicamento ivermectina cura a Covid-19.,Falso
103,O Supremo Tribunal Federal decidiu que o presidente Bolsonaro não poderia determinar ações para combater a pandemia do novo coronavírus.,Falso
104,Uso prolongado de máscaras protetoras causa hipóxia.,Falso
105,Vacina fabricada pela Roche Medical Company cura o COVID-19 em 3 horas,Falso
106,"O Brasil tem uma taxa de sobrevivência à Covid-19 de 99,999%.",Falso
107,A auto-hemoterapia cura o COVID-19,Falso
108,Médico diz em vídeo que o uso prolongado de máscaras acidifica o sangue.,Falso
109,Pessoas saqueiam supermercado em São Vicente (SP) por causa do isolamento social,Parcialmente falso
110,O remédio Ivermectina cura a Covid-19,Falso
111,O uso prolongado de máscaras faciais causa hipóxia,Falso
112,A COVID-19 pode ser tratada com antibióticos,Falso
113,O imunologista e vencedor do Nobel Tasuku Honjo disse que o novo coronavírus não é natural e foi criado pelos chineses.,Falso
114,O proprietário da empresa brasileira que demitiu funcionários por causa da pandemia comete suicídio.,Falso
115,Mortes por COVID-19 no Amazonas caíram após a visita do novo Ministro da Saúde.,Falso
116,Estatísticas de mortes por milhão de habitantes mostram que a pandemia de COVID-19 no Brasil não é grave.,Enganoso
117,Tabela mostra que o número de registros de óbitos no Brasil em abril de 2020 foi menor que em abril de 2019 e abril de 2018.,Enganoso
118,"Coronavírus pode ter se espalhado devido ao consumo de sopa de morcegos, afirmam cientistas",Falso
119,OMS aconselha a população a evitar relações sexuais desprotegidas com animais,Falso
120,O ministro da Saúde do Brasil disse que 'suspeitos de Covid-19' não podem mais aparecer nos atestados de óbito.,Falso
121,A OMS diz que nunca aconselhou a aplicação do bloqueio total como uma medida para combater o coronavírus.,Enganoso
122,"O prefeito de São Paulo, diagnosticado com COVID-19, usou cloroquina, o mesmo medicamento que foi banido pelo governo municipal.",Falso
123,"Após pandemia de coronavírus, presidente chinês disse que é hora da China liderar o mundo",Falso
124,Governo do Pará escalou prisioneiros para monitorar se a população está cumprindo as regras de distância social em pontos de ônibus no Brasil,Falso
125,Professor de Harvard foi preso por criar e vender o coronavírus,Falso
126,Vídeo mostra profissionais de saúde dando as costas ao prefeito de São Paulo.,Falso
127,Projeto aprovado pela Câmara dos Deputados exige o uso de máscaras dentro de residências.,Falso
128,Presidente da Câmara dos Deputados do Brasil rejeitou um projeto de lei de Jair Bolsonaro sobre a quarentena do COVID-19 em fevereiro,Falso
129,Substâncias presentes no boldo e na planta de quina tratam o COVID-19.,Falso
130,Tabela que compara as mortes por Covid-19 com outras causas mostra que o novo coronavírus é inofensivo.,Falso
131,Texto que circula no WhatsApp que diz que chineses criaram o coronavírus e que as principais cidades da China não sofreram com a pandemia,Falso
132,Vídeo mostra mercado brasileiro vazio e a causa da escassez seriam as medidas de isolamento social,Falso
133,Vídeo mostra brigas entre inspetores e população por medidas de isolamento social no Brasil.,Falso
134,"Militares correm em uma praia no Rio de Janeiro, desrespeitando as medidas de isolamento do governador Wilson Witzel.",Falso
135,Vídeo mostrando a avenida movimentada de São Paulo foi gravado em ato a favor do presidente Jair Bolsonaro e contra as medidas de segurança do coronavírus.,Falso
136,Ministério da Defesa de Israel afirma que a melhor medida contra a pandemia é isolar os idosos,Parcialmente falso
137,"Vídeo mostra policial atirando em um surfista que desconsiderou medidas de isolamento em Fortaleza, no Ceará.",Falso
138,Homem é enterrado vivo no Brasil após ser falsamente diagnosticado com COVID-19; o vídeo mostra seu resgate.,Falso
139,Vídeo mostra policiais brasileiros expulsando pessoas das praias com spray de pimenta e balas de borracha por causa das medidas restritivas da COVID-19.,Falso
140,Vídeo mostra caminhões no Brasil descartando alimentos perdidos devido ao isolamento social,Falso
141,Vitamina C com zinco previne e trata a infecção por coronavírus,Falso
142,Chá de erva-doce é uma cura contra o novo coronavírus.,Falso
143,"Em vídeo, médico e personalidade da TV brasileira Drauzio Varella diz que continuará andando pelas ruas.",Enganoso
144,Notícia divulgada em 2015 pela TV italiana RAI comprova que o novo coronavírus foi criado em laboratório pelo governo chinês. ,Falso
145,Eles criam doenças para oferecer vacinas. Já existe uma patente para um coronavírus atenuado.,Falso
146,"Coronavírus na China: mais de 30 milhões em quarentena, 2,8 milhões infectados; 112.000 mortos! Pessoas caindo nas ruas e trens! Supermercados sem comida!",Falso
147,Paciente com coronavírus morde jugular de médico nos EUA,Falso
148,"Empresa chinesa Ruilan Bao Hu San Biotech Limited é a origem do novo coronavírus. Seu logotipo lembra a Umbrella Corporation, do videogame Resident Evil.",Falso
149,"Foto de várias pessoas caídas no chão no meio da rua, supostamente na China",Falso
150,"Vídeo do mercado de Wuhan, cidade chinesa onde o novo coronavírus começou a se espalhar.",Falso
151,"Como prevenir o coronavírus: beba chá de erva-doce duas vezes por dia. O chá de erva-doce tem o mesmo componente do medicamento Tamiflu, usado no tratamento do H1N1",Falso
152,Médicos confirmam que o novo coronavírus pode chegar ao Brasil por meio de pacotes do AliExpress.,Falso
153,"Caso do novo coronavírus foi registrado em hospital no Maranhão, Brasil.",Falso
154,"Este é um mercado na China, onde morcegos e cobras eram servidos como alimento.",Falso
155,Pesquisas mostram que partes do código genético do HIV foram inseridas no novo coronavírus.,Falso
156,Imagens de satélite mostram aumento nas emissões de SO2 em torno de Wuhan.,Falso
157,Os Simpsons previram o surto de coronavírus.,Falso
158,O vinagre é mais eficaz que os desinfetantes para as mãos à base de álcool para matar o novo coronavírus.,Falso
159,Vitamin C and warm water with lemon can prevent COVID-19.,Falso
160,Desinfetante para as mãos à base de álcool pode influenciar os resultados em um teste do bafômetro.,Falso
161,Bebidas quentes matam o coronavírus: o vírus morre quando a temperatura ambiente é superior a 26ºC. Gargarejar água quente ajuda a tratar a doença e o vírus fica em suas mãos por 10 minutos.,Falso
162,Cuba desenvolveu vacina contra o coronavírus.,Falso
163,Você pode autodiagnosticar o COVID-19 prendendo a respiração por 10 segundos e evitar o COVID-19 bebendo água constantemente. COVID-19 causa fibrose nos pulmões.,Falso
164,Água fervida com alho cura o coronavírus.,Falso
165,Igreja Universal do Reino de Deus está vendendo 500 frascos “abençoados” de desinfetantes para as mãos  ,Falso
166,Israel já desenvolveu uma vacina contra o COVID-19,Falso
167,Cantora brasileira Preta Gil cantou em um bloco de carnaval quando já estava infectada com coronavírus.,Falso
168, Evite beber água fria durante a pandemia; exposição à luz solar é benéfica,Falso
169,Vítimas de coronavírus são enterradas nesta manhã na quarta-feira na Itália. “Descanse em paz”.,Falso
170,"Rodrigo Maia, presidente da Câmara dos Deputados, votou uma lei que proíbe o presidente de fechar fronteiras.",Falso
171,Netflix oferece acesso gratuito a qualquer pessoa no Brasil durante a crise do coronavírus.,Falso
172,Petrobras (maior companhia de petróleo do Brasil) encerra suas refinarias a partir de 24 de março.,Falso
173,Uber suspenderá as operações por 10 dias no Brasil devido à pandemia.,Falso
174,"Homem afirma que seu cão foi vacinado contra o coronavírus, portanto o SARS-Cov-2 não é realmente um vírus novo.",Falso
175,"Atacadão, uma rede de supermercados no Brasil, está distribuindo mercadorias gratuitamente. Você pode obtê-los se deixar um comentário na postagem.",Falso
176,Ladrões se disfarçam de agentes de saúde para invadir e roubar prédios em Belo Horizonte e Goiânia.,Falso
177,Idosos que forem pegos perambulando na rua no Brasil terão suas aposentadorias canceladas pelo governo.,Falso
178,"Fotos mostram a jornalista Maju Coutinho andando na praia do Leblon com o namorado, contrariando os decretos para ficar em casa durante a pandemia.",Falso
179,"Drauzio Varella, um dos médicos mais famosos do Brasil, declarou em um vídeo em 22/03/20: Não há crise de coronavírus; isto é apenas um resfriado forte. Não há motivo para mudar sua rotina, a menos que você esteja infectado.",Falso
180,"Foto mostra baile funk em São Paulo durante o coronavírus, apesar das restrições de reuniões de massa devido ao COVID-19.",Falso
181,"Existem 1.000 vagas abertas para enfermeiros, médicos e outros profissionais de saúde trabalharem em um hospital temporário em São Paulo que será utilizado no tratamento de casos COVID-19.",Parcialmente falso
182,Receita para álcool caseiro: misture 3 partes de etanol com 1 parte de água.,Falso
183,"Uma vacina que cura o COVID-19 em três horas será lançada no próximo domingo, de acordo com o presidente Donald Trump. A Roche já produziu milhões dessas vacinas.",Falso
184,Foto mostra da praia de Copacabana em 22/3/20 cheia de banhistas apesar de o Rio de Janeiro estar em quarentena devido ao COVID-19.,Falso
185,Autoridades de saúde recomendam raspar a barba durante a crise do COVID-19.,Falso
186,"Em 25 de março, um cientista francês testou com sucesso vacina contra o COVID-19.",Falso
187,General Augusto Heleno foi curado da infecção por COVID-19 usando cloroquina.,Falso
188,"Um homem de 48 anos, desempregado por causa da crise do COVID-19, tentou se suicidar em São Paulo.",Falso
189,O H1N1 foi muito mais prejudicial para o Brasil do que o COVID-19: o número de casos e mortes foi muito maior.,Falso
190,Foto mostra mercado supostamente saqueado por multidões furiosas por causa do bloqueio em São Paulo.,Falso
191,"Israel aplicou o bloqueio vertical (pessoas mais jovens, sem risco, podem seguir suas rotinas diárias) e tem a menor taxa de mortalidade por COVID-19 no mundo.",Falso
192,"Arquivo de áudio apresenta um suposto oficial do estado do Ceará, chamado Ricardo Certi, pedindo aos diretores de uma estação de TV local que critiquem Bolsonaro e elogiem as políticas do COVID-19 do governo do Ceará.",Falso
193,"Governo brasileiro dará subsídio de emergência mensal de R$ 600 em razão do COVID-19 para cidadãos pobres. Para acessá-lo, você precisa preencher um formulário oficial (link para o formulário).",Falso
194,"Ronaldo Caiado, governador de Goiás, foi espancadoem razão dos decretos de isolamento social. Galeria de fotos prova isso.",Falso
195,"Governador do Maranhão, Flávio Dino, entrega cestas de alimentos a uma multidão de pobres apesar das recomendações de evitar aglomerações durante a crise do COVID-19.",Falso
196,"Em mensagem do PT, Gleisi Hoffmann pede aos afiliados que boicotem o subsídio de emergência mensal de 600 reais da COVID-19. Os eleitores do PT elegíveis devem rejeitá-lo e denunciá-lo, uma vez que está sendo pago por um governo fascista"".""",Falso
197,Os empresários Luciano Hang e Roberto Justus e o cantor Eduardo Costa doaram R$ 4 milhões e 90 respiradores ao SUS (Sistema Nacional de Saúde).,Falso
198,Organização Mundial de Saúde condenou medidas de isolamento para conter o COVID-19.,Falso
199,"Um representante do PSOL foi preso embriagado enquanto participava de uma festa durante isolamento social por conta do COVID-19 em Niterói, no Rio de Janeiro.",Falso
200,"Dois homens identificados como donos do Carrefour"" no Brasil aparecem em vídeos criticando as medidas de isolamento.""",Falso
201,"A epidemia de COVID-19 está quase no fim na Holanda. O governo não fechou uma única loja. Tuitado inicialmente por um ex-ministro Bolsonaro, Osmar Terra, em 31/03/20.",Falso
202,"Vídeo supostamente gravado em 31 de março em que um homem mostra centro de distribuição de alimentos em Contagem (MG) e alega escassez de alimentos em Minas Gerais causada por medidas de isolamento social. Vídeo foi tuitado por Jair Bolsonaro, que mais tarde o excluiu.",Falso
203,Preso libertado por causa da epidemia de COVID-19 foi preso novamente em Campo Bom. Os policiais encontraram mais de 100 kg de cocaína em sua casa e várias armas.,Falso
204,"João Doria, governador de São Paulo, proibiu médicos de darem cloroquina a pacientes com COVID-19.",Falso
205,"Em 1/4/20, todos os pacientes com coronavírus de Blumenau (SC), Brasil, foram curados.",Falso
206,Tabela compara as estatísticas da COVID-19 para países que impuseram isolamento social contra países que não impuseram.,Parcialmente falso
207,"Fotos mostram de pilhas de dinheiro espalhadas pelas ruas e a legenda: o povo italiano está jogando dinheiro nas ruas como um lembrete de que o dinheiro não pode comprar tudo como exemplificado pela pandemia da COVID-19""""",Falso
208,Um empresário do Brasil se matou depois de demitir 223 funcionários devido à atual crise.,Falso
209,"Enquanto a China construiu um hospital para 1 mil pessoas em 10 dias e todos aplaudiram, o Exército Brasileiro construiu hospitais de campo para 2 mil pacientes com COVID-19 em apenas 48 horas e ninguém falou nada.",Falso
210,Dois arquivos de áudio do WhatsApp afirmam que gangues de cerca de 30 viciados em drogas estão saqueando lojas e aterrorizando trabalhadores no centro de São Paulo durante isolamento social para conter a COVID-19.,Falso
211,"Foto de Tiago Leifert, apresentador do Big Brother Brasil, com um grupo de funcionários da Rede Globo em um restaurante. A legenda afirma que, enquanto a Globo defende o isolamento social, os funcionários estão em restaurantes chiques durante a epidemia da COVID-19.",Falso
212,"Foto de uma fila em Bom Prato (cadeia de restaurantes populares administrados pelo Estado que oferece refeições de baixo custo para pessoas pobres em São Paulo). A legenda afirma que João Dória, governador de São Paulo, abriu os restaurantes e permitiu a aglomeração, enquanto, ao mesmo tempo, proibia a abertura do restaurante comum.",Falso
213,"O governo da Paraíba, Brasil, recebeu R$ 11,6 milhões do Governo Federal para gastar em cuidados de saúde durante a crise da COVID-19. Em vez disso, esse dinheiro está sendo gasto em apresentações artísticas.",Falso
214,"Vídeo mostra confronto entre usuários de drogas na Cracolância, Centro de São Paul, e Guarda Municipal. Na legenda, afirma-se que é isso que está acontecendo enquanto a cidade está em isolamento.",Falso
215,"Deputado Federal Osmar Terra afirma que, na Itália, as políticas de isolamento social fizeram com que os casos da COVID-19 disparassem.",Falso
216,Pesquisador americano Charles Lieber foi preso por vender o novo coronavírus aos chineses.,Falso
217,"Salim Mattar, proprietário da Localiza (empresa brasileira de aluguel de carros) critica as medidas de isolamento relacionadas à COVID-19.",Falso
218,"Rodrigo Maia, presidente da Câmara dos Deputados, disse no Twitter que prefere ver algumas pessoas morrerem de COVID-19 antes de usar o dinheiro dos fundos públicos eleitorais para pagar pelo tratamento.",Falso
219,Brasil foi classificado pelo Banco Mundial como o país com melhores políticas de combate à COVID-19.,Falso
220,Vídeo mostra um suposto dono de hotel em Nova York que pulou de uma janela depois de demitir todos os seus funcionários. O hotel faliu devido às políticas de isolamento social.,Falso
221,"Fábio de Melo, famoso padre brasileiro, publicou texto criticando o isolamento social e pedindo empatia por quem precisa trabalhar.",Falso
222,"O Hospital Leonardo Da Vinci, referência para tratamento da COVID-19 em Fortaleza (CE), Brasil, está vazio. Um vídeo prova"" que não havia ninguém nas áreas abertas ao público.""",Falso
223,"Roberto Gazolla, hospital de referência para tratamento da COVID-19 no Rio de Janeiro, Brasil, está vazio. As fotos provam"" que não havia ninguém nas áreas abertas ao público como o hall de entrada.""",Falso
224,"Programa da RAI TV, emissora italiana, de 2015 alertou sobre a pesquisa chinesa para criar um novo coronavírus a partir de outras partes do vírus. Tudo aconteceu em Wuhan.",Falso
225,"Foto mostra aglomeração de pessoas na Cracolândia, Centro de São Paulo, supostamente durante a pandemia de coronavírus.",Falso
226,"Vídeo mostra homem em frente ao Estádio do Pacaembu, em São Paulo, onde foi construído um hospital de campanha para pacientes com COVID-19. Ele afirma que, como não há movimento na entrada, ninguém esperando para entrar, também não há ninguém lá dentro.",Falso
227,Número de mortes por COVID-19 em São Paulo (Brasil) foi revisada: de 201 casos confirmados para apenas 26.,Falso
228,"Um homem chamado Antonio Carlos, 67 anos, acaba de ser curado da COVID-19 usando cloroquina. Ele foi liberado do Hospital Unimed, no Rio de Janeiro (Brasil).",Falso
229,O FDA (Food and Drug Administration) aprovou o uso de cloroquina em todos os pacientes com COVID-19 nos Estados Unidos.,Falso
230,"Vídeo no Hospital das Clínicas, São Paulo, mostra uma sala de espera vazia. A pessoa que filma afirma que o governo está mentindo quando diz que há pacientes com COVID-19 no hospital.",Falso
231,"Homem supostamente chinês em cinco fotos com políticos brasileiros. Conforme a legenda, o homem fazia parte da quadrilha presa em São Paulo por roubar equipamentos e máscaras de teste COVID-19.",Falso
232,Vídeo mostra homem sendo chutado por policiais. A legenda diz que ele foi espancado por desrespeitar as medidas de isolamento em São Paulo.,Falso
233,Vídeo mostra homem sendo maltratado por policiais. A legenda diz que ele foi espancado por desrespeitar as medidas de isolamento em São Paulo.,Falso
234,"Quinino, uma substância presente na água tônica, é a mesma coisa que a cloroquina e pode ser usada para tratar a Covid-19.",Falso
235,"Rita Wilson, esposa de Tom Hanks, afirmou em uma entrevista à CBS que não estaria viva se não fosse por cloroquina"".""",Falso
236,"Um tuíte supostamente publicado pelo juiz brasileiro Marcelo Bretas afirma que a hidroxicloroquina torna desnecessários gastos com equipamentos hospitalares caros e isso incomoda os políticos"".""",Falso
237,"Vídeo mostra policiais espancando uma mulher. Conforme a legenda, são policiais militares de São Paulo e estão espancando-a porque ela violou o isolamento social.",Falso
238,"Vídeo mostra pessoas na praia sendo baleadas por policiais. A legenda diz que as forças policiais do Rio de Janeiro, São Paulo e Bahia agora podem atirar em quem violar as medidas de isolamento social.",Falso
239,Vídeo mostra a polícia disparando contra frequentadores da praia durante a pandemia de COVID-19,Falso
240,"Vídeo mostra supermercado sendo saqueado em Pernambuco. Segundo a legenda, o episódio teria acontecido em razão de as pessoas estarem passando fome porque não tinham permissão para trabalhar durante o isolamento social.",Falso
241,Pesquisa com médicos de 30 países diferentes confirma que a cloroquina é o tratamento mais eficaz contra a COVID-19.,Falso
242,"A ingestão de alimentos alcalinos é um tratamento eficaz contra a COVID-19. O SARS-Cov-2 não sobrevive quando o pH do corpo está acima de 5,5. Alguns itens alimentares com pH alcalino: laranja, limão, abacate, abacaxi, manga e alho.",Falso
243,Número de mortes causadas por COVID-19 no Brasil despencou depois que o ministro da Justiça Sergio Moro ordenou à Polícia Federal que investigasse se os dados estavam sendo fabricados.,Falso
244,"Vídeo mostra mulher sendo empurrada por um policial. Segundo a legenda, o episódio se deu porque ela desrespeitou as medidas de isolamento na Bahia.",Falso
245,"Vídeo mostra policiais imobilizando mulheres. A legenda afirma que um grupo de pessoas estava sendo espancada pela polícia porque se recusava a ir para suas casas durante o isolamento social em Minas Gerais, Brasil",Falso
